Class,Description,Associated_Terms,Your_Context,URL
"Occurrence","Represents a record of an organism's presence at a specific time and place, often tied to a specimen or observation.","occurrenceID (unique identifier, e.g., gbifID = 4102173295 for a Lepidium barnebyanum record),basisOfRecord (e.g., PreservedSpecimen, HumanObservation),catalogNumber (identifier for a specimen in a collection),recordedBy (who collected the specimen),eventDate (date of observation/collection),organismQuantity (number of individuals),occurrenceRemarks (additional notes)","You’ve used terms like gbifID, decimalLatitude, and eventDate when analyzing GBIF occurrences for Lepidium barnebyanum.","https://dwc.tdwg.org/terms/#dwc:Occurrence"
"Event","Describes the context of an observation or sampling event, such as a field survey or collection trip.","eventID (unique identifier for the event),eventDate (shared with Occurrence, e.g., when Lepidium barnebyanum was collected),samplingProtocol (method used, e.g., 'field survey'),sampleSizeValue (size of sample),sampleSizeUnit (unit of measurement),eventRemarks (notes on the event)","Useful for understanding the collection context of your GBIF data, especially when correlating with environmental factors (e.g., germination at 19.737% with GA 3000).","https://dwc.tdwg.org/terms/#dwc:Event"
"Location","Defines the geographic location where an occurrence or event took place.","decimalLatitude (latitude in decimal degrees, e.g., for Lepidium barnebyanum occurrences),decimalLongitude (longitude in decimal degrees),geodeticDatum (coordinate system, e.g., WGS84),coordinateUncertaintyInMeters (uncertainty in location),country (e.g., 'United States'),locality (specific place, e.g., 'Utah desert'),minimumElevationInMeters (elevation data)","You’ve plotted decimalLatitude and decimalLongitude to map Lepidium barnebyanum distribution.","https://dwc.tdwg.org/terms/#dwc:Location"
"Taxon","Represents a taxonomic entity (e.g., species, genus) associated with an occurrence.","taxonID (unique identifier for the taxon),scientificName (e.g., Lepidium barnebyanum),kingdom (e.g., 'Plantae', used in your filter),phylum, class, order, family, genus, species (taxonomic hierarchy),taxonRank (e.g., 'species'),nomenclaturalCode (e.g., ICBN for plants)","You’ve filtered by kingdom = 'Plantae' and scientificName = 'Lepidium barnebyanum' in your GBIF data.","https://dwc.tdwg.org/terms/#dwc:Taxon"
"Identification","Details the taxonomic identification process for an occurrence.","identificationID (unique identifier for the identification),identifiedBy (who made the identification),dateIdentified (when the identification was made),identificationQualifier (e.g., 'cf.' for uncertain identification),typeStatus (e.g., 'holotype' for a type specimen)","Relevant for validating Lepidium barnebyanum records, especially if re-identification occurred.","https://dwc.tdwg.org/terms/#dwc:Identification"
"Organism","Represents an individual organism, potentially linking multiple occurrences (e.g., repeated observations of the same plant).","organismID (unique identifier for the organism),organismName (name assigned to the organism),organismScope (e.g., 'individual', 'population'),previousIdentifications (historical IDs)","Less directly used in your work but could apply if tracking individual Lepidium barnebyanum plants over time.","https://dwc.tdwg.org/terms/#dwc:Organism"
"MaterialSample","Describes a physical sample derived from a specimen (e.g., a tissue sample for DNA analysis).","materialSampleID (unique identifier for the sample),materialSampleType (e.g., 'DNA extract')","Relevant if you extracted DNA from a Lepidium barnebyanum voucher for your DOG1-AHG1 HADDOCK analysis (Cluster 1 score -15.4).","https://dwc.tdwg.org/terms/#dwc:MaterialSample"
"ResourceRelationship","Defines relationships between biodiversity entities (e.g., linking two occurrences or a specimen to a sequence).","resourceRelationshipID (unique identifier),relatedResourceID (e.g., linking to another occurrence),relationshipOfResource (e.g., 'sameAs', 'derivedFrom')","Could link your GBIF occurrence to a voucher (SRP034726.jpg) or a DNA sequence.","https://dwc.tdwg.org/terms/#dwc:ResourceRelationship"
"MeasurementOrFact","Records measurements or facts associated with an occurrence, event, or specimen (e.g., environmental data).","measurementID (unique identifier),measurementType (e.g., 'temperature'),measurementValue (e.g., '25C'),measurementUnit (e.g., 'Celsius')","Could include environmental data (e.g., temperature at collection sites) to correlate with your germination trials.","https://dwc.tdwg.org/terms/#dwc:MeasurementOrFact"
"GeologicalContext","Provides geological or paleontological context for an occurrence (e.g., fossil records).","geologicalContextID (unique identifier),earliestEonOrLowestEonothem (e.g., 'Phanerozoic'),formation (e.g., rock formation name)","Less relevant for Lepidium barnebyanum, which is a living species, but useful for fossil studies.","https://dwc.tdwg.org/terms/#dwc:GeologicalContext"
